#SampleID	Metaphlan2_Analysis
Bacteria|Actinomycetota|Thermoleophilia|Gaiellales|Gaiellaceae|AC-21|	7
Bacteria|Actinomycetota|Thermoleophilia|Gaiellales|Gaiellaceae|GMQP-bins7|	21
Bacteria|Actinomycetota|Thermoleophilia|Gaiellales|Gaiellaceae|JACCYG01|	7
Bacteria|Actinomycetota|Thermoleophilia|Gaiellales|Gaiellaceae|JACDER01|	7
Bacteria|Actinomycetota|Thermoleophilia|Gaiellales|Gaiellaceae|JAIBJN01|	7
Bacteria|Actinomycetota|Thermoleophilia|Gaiellales|Gaiellaceae|JAIBJP01|	7
Bacteria|Actinomycetota|Thermoleophilia|Gaiellales|Gaiellaceae|PALSA-600|	14
Bacteria|Actinomycetota|Thermoleophilia|Gaiellales|Gaiellaceae|PALSA-612|	7
Bacteria|Actinomycetota|Thermoleophilia|Gaiellales|Gaiellaceae|Palsa-739|	21
Bacteria|Actinomycetota|Thermoleophilia|Gaiellales|Gaiellaceae|VAXT01|	7
Bacteria|Actinomycetota|Thermoleophilia|Solirubrobacterales|||	14
Bacteria|Actinomycetota|Thermoleophilia|Solirubrobacterales|70-9||	98
Bacteria|Actinomycetota|Thermoleophilia|Solirubrobacterales|70-9|AC-56|	7
Bacteria|Actinomycetota|Thermoleophilia|Solirubrobacterales|70-9|JAJKHV01|	35
Bacteria|Actinomycetota|Thermoleophilia|Solirubrobacterales|70-9|VAYN01|	49
Bacteria|Actinomycetota|Thermoleophilia|Solirubrobacterales|70-9|VRUE01|	49
Bacteria|Actinomycetota|Thermoleophilia|Solirubrobacterales|Solirubrobacteraceae||	28
Bacteria|Actinomycetota|Thermoleophilia|Solirubrobacterales|Solirubrobacteraceae|AC-38|	14
Bacteria|Actinomycetota|Thermoleophilia|Solirubrobacterales|Solirubrobacteraceae|Baekduia|	28
Bacteria|Actinomycetota|Thermoleophilia|Solirubrobacterales|Solirubrobacteraceae|Conexibacter|	14
Bacteria|Actinomycetota|Thermoleophilia|Solirubrobacterales|Solirubrobacteraceae|Palsa-465|	112
Bacteria|Actinomycetota|Thermoleophilia|Solirubrobacterales|Solirubrobacteraceae|Palsa-513|	14
Bacteria|Actinomycetota|Thermoleophilia|Solirubrobacterales|Solirubrobacteraceae|Palsa-744|	245
Bacteria|Actinomycetota|Thermoleophilia|Solirubrobacterales|Solirubrobacteraceae|Palsa-744|Palsa-744 sp017882375	7
Bacteria|Actinomycetota|Thermoleophilia|Solirubrobacterales|Thermoleophilaceae||	21
Bacteria|Actinomycetota|Thermoleophilia|Solirubrobacterales|Thermoleophilaceae|JAAYBF01|	14
Bacteria|Actinomycetota|Thermoleophilia|Solirubrobacterales|Thermoleophilaceae|JACCYP01|	7
Bacteria|Actinomycetota|Thermoleophilia|Solirubrobacterales|Thermoleophilaceae|JACVRW01|	35
Bacteria|Actinomycetota|Thermoleophilia|Solirubrobacterales|Thermoleophilaceae|JADGHQ01|	14
Bacteria|Actinomycetota|UBA4738|AC-67|AC-67||	7
Bacteria|Actinomycetota|UBA4738|CADDZG01|WHSQ01||	21
Bacteria|Actinomycetota|UBA4738|UBA4738|||	14
Bacteria|Actinomycetota|UBA4738|UBA4738|HRBIN12|AC-51|	7
Bacteria|Actinomycetota|UBA4738|UBA4738|HRBIN12|AC-69|	7
Bacteria|Actinomycetota|UBA4738|UBA4738|UBA4738||	7
Bacteria|Bacillota|Bacilli|Paenibacillales|Paenibacillaceae|Paenibacillus|	7
Bacteria|Bacteroidota|Bacteroidia|Chitinophagales|Chitinophagaceae|Ginsengibacter|	7
Bacteria|Bacteroidota|Bacteroidia|Chitinophagales|Chitinophagaceae|Puia|	21
Bacteria|Bacteroidota|Bacteroidia|Chitinophagales|Chitinophagaceae|VBAS01|	7
Bacteria|Bacteroidota|Bacteroidia|Chitinophagales|Chitinophagaceae|VBAT01|	7
Bacteria|Bacteroidota|Bacteroidia|Cytophagales|Cytophagaceae|Cytophaga|	7
Bacteria|Bacteroidota|Bacteroidia|Sphingobacteriales|Sphingobacteriaceae|Mucilaginibacter|	14
Bacteria|Bacteroidota|Ignavibacteria|Ignavibacteriales|Ignavibacteriaceae|Fen-1301|	7
Bacteria|Bacteroidota|Ignavibacteria|SJA-28|OLB5||	7
Bacteria|Chlamydiota|Chlamydiia|Chlamydiales|Rhabdochlamydiaceae|CAJCIW01|	7
Bacteria|Chloroflexota|Chloroflexia|54-19|JADMIH01|JADMIH01|	7
Bacteria|Chloroflexota|Dehalococcoidia|UBA3495|UBA3495||	7
Bacteria|Chloroflexota|Ktedonobacteria|Ktedonobacterales|JADMIN01||	7
Bacteria|Chloroflexota|Ktedonobacteria|Ktedonobacterales|Ktedonobacteraceae|CF-113|	14
Bacteria|Chloroflexota|Limnocylindria|Limnocylindrales|CSP1-4||	14
Bacteria|Chloroflexota|Limnocylindria|Limnocylindrales|CSP1-4|Fen-1039|Fen-1039 sp017881885	7
Bacteria|Chloroflexota|Limnocylindria|Limnocylindrales|CSP1-4|UBA5189|	7
Bacteria|Chloroflexota|Limnocylindria|P2-11E|P2-11E|3-1-20CM-2-70-9|	7
Bacteria|Chloroflexota|Limnocylindria|QHBO01|QHBO01||	7
Bacteria|Chloroflexota|Limnocylindria|QHBO01|QHBO01|JACDBZ01|	7
Bacteria|Cyanobacteriota|Vampirovibrionia|Obscuribacterales|Obscuribacteraceae|CAJCHQ01|	7
Bacteria|Desulfobacterota_B|Binatia|Binatales|Binataceae||	7
Bacteria|Desulfobacterota_B|Binatia|Binatales|Binataceae|Binatus|	14
Bacteria|Desulfobacterota_B|Binatia|Binatales|Binataceae|JAKAVN01|	7
Bacteria|Desulfobacterota|Desulfobacteria|Desulfobacterales|UBA2174_A|SpSt-501|	7
Bacteria|Desulfobacterota|Desulfobacteria|Desulfobacterales|UBA5852|UBA5852|	7
Bacteria|Dormibacterota|Dormibacteria|CF-121|CF-121|CF-13|	14
Bacteria|Dormibacterota|Dormibacteria|Dormibacterales|Dormibacteraceae|40CM-4-65-16|	21
Bacteria|Dormibacterota|Dormibacteria|Dormibacterales|Dormibacteraceae|CF-161|	14
Bacteria|Dormibacterota|Dormibacteria|Dormibacterales|Dormibacteraceae|QHBS01|	7
Bacteria|Dormibacterota|Dormibacteria|UBA8260|UBA8260||	7
Bacteria|Dormibacterota|Dormibacteria|UBA8260|UBA8260|Palsa-851|	14
Bacteria|Eisenbacteria|RBG-16-71-46|JABDJR01|JABDJR01||	7
Bacteria|Eremiobacterota|Eremiobacteria|Baltobacterales|Baltobacteraceae||	21
